m,I,V_ub
1,50,772.768
1,60,717.797
1,70,666.735
1,80,619.306
1,90,575.251
1,100,534.329
1,110,496.319
1,120,461.013
1,130,428.218
1,140,397.756
1,150,369.461
1,160,343.179
1,170,318.767
1,180,296.091
1,190,275.028
1,200,255.463
1,210,237.291
1,220,220.411
1,230,204.731
1,240,190.168
1,250,176.64
1,260,164.074
1,270,152.403
1,280,141.561
1,290,131.491
1,300,122.137
1,310,113.449
1,320,105.378
1,330,97.8822
1,340,90.9192
1,350,84.4516
1,360,78.444
1,370,72.8638
1,380,67.6805
1,390,62.8659
1,400,58.3939
1,410,54.24
1,420,50.3815
1,430,46.7976
1,440,43.4686
1,450,40.3764
1,460,37.5041
1,470,34.8362
1,480,32.3581
1,490,30.0563
1,500,27.9182
1,510,25.9322
1,520,24.0874
1,530,22.3739
1,540,20.7823
1,550,19.304
1,560,17.9308
1,570,16.6552
1,580,15.4704
1,590,14.3699
1,600,13.3477
1,610,12.3982
1,620,11.5162
1,630,10.697
1,640,9.93606
1,650,9.22924
1,660,8.57271
1,670,7.96287
1,680,7.39642
1,690,6.87027
1,700,6.38154
1,710,5.92758
1,720,5.50592
1,730,5.11424
1,740,4.75044
1,750,4.41251
1,760,4.09862
1,770,3.80706
1,780,3.53624
1,790,3.28468
1,800,3.05102
1,810,2.83398
1,820,2.63238
1,830,2.44512
1,840,2.27119
1,850,2.10962
1,860,1.95955
1,870,1.82016
1,880,1.69068
1,890,1.57041
1,900,1.4587
1,910,1.35493
1,920,1.25854
1,930,1.16902
1,940,1.08586
1,950,1.00861
1,960,0.936863
1,970,0.870218
1,980,0.808314
1,990,0.750813
1,1000,0.697403
2,50,833.886
2,60,786.449
2,70,741.709
2,80,699.515
2,90,659.722
2,100,622.192
2,110,586.797
2,120,553.415
2,130,521.933
2,140,492.241
2,150,464.239
2,160,437.829
2,170,412.922
2,180,389.432
2,190,367.278
2,200,346.385
2,210,326.68
2,220,308.096
2,230,290.569
2,240,274.039
2,250,258.449
2,260,243.747
2,270,229.881
2,280,216.803
2,290,204.47
2,300,192.838
2,310,181.868
2,320,171.522
2,330,161.764
2,340,152.562
2,350,143.883
2,360,135.698
2,370,127.978
2,380,120.698
2,390,113.832
2,400,107.356
2,410,101.249
2,420,95.4892
2,430,90.057
2,440,84.9339
2,450,80.1022
2,460,75.5454
2,470,71.2478
2,480,67.1947
2,490,63.3721
2,500,59.767
2,510,56.367
2,520,53.1604
2,530,50.1363
2,540,47.2841
2,550,44.5943
2,560,42.0574
2,570,39.6648
2,580,37.4084
2,590,35.2803
2,600,33.2733
2,610,31.3805
2,620,29.5953
2,630,27.9117
2,640,26.3239
2,650,24.8264
2,660,23.4141
2,670,22.0821
2,680,20.8259
2,690,19.6412
2,700,18.5238
2,710,17.47
2,720,16.4762
2,730,15.5389
2,740,14.6549
2,750,13.8213
2,760,13.035
2,770,12.2935
2,780,11.5941
2,790,10.9346
2,800,10.3125
2,810,9.72587
2,820,9.17259
2,830,8.65078
2,840,8.15866
2,850,7.69453
2,860,7.25681
2,870,6.84398
2,880,6.45465
2,890,6.08746
2,900,5.74116
2,910,5.41455
2,920,5.10653
2,930,4.81603
2,940,4.54206
2,950,4.28367
2,960,4.03999
2,970,3.81016
2,980,3.59341
2,990,3.38899
2,1000,3.1962
3,50,865.337
3,60,822.175
3,70,781.166
3,80,742.203
3,90,705.183
3,100,670.009
3,110,636.59
3,120,604.838
3,130,574.67
3,140,546.006
3,150,518.772
3,160,492.896
3,170,468.311
3,180,444.953
3,190,422.759
3,200,401.672
3,210,381.638
3,220,362.602
3,230,344.516
3,240,327.332
3,250,311.005
3,260,295.493
3,270,280.754
3,280,266.75
3,290,253.445
3,300,240.804
3,310,228.793
3,320,217.381
3,330,206.538
3,340,196.236
3,350,186.448
3,360,177.149
3,370,168.313
3,380,159.918
3,390,151.941
3,400,144.363
3,410,137.162
3,420,130.32
3,430,123.82
3,440,117.644
3,450,111.776
3,460,106.201
3,470,100.904
3,480,95.871
3,490,91.0891
3,500,86.5457
3,510,82.2289
3,520,78.1275
3,530,74.2306
3,540,70.5281
3,550,67.0102
3,560,63.6679
3,570,60.4922
3,580,57.4749
3,590,54.6082
3,600,51.8844
3,610,49.2965
3,620,46.8376
3,630,44.5014
3,640,42.2818
3,650,40.1728
3,660,38.1691
3,670,36.2652
3,680,34.4564
3,690,32.7378
3,700,31.1048
3,710,29.5534
3,720,28.0793
3,730,26.6787
3,740,25.348
3,750,24.0837
3,760,22.8825
3,770,21.7411
3,780,20.6567
3,790,19.6264
3,800,18.6474
3,810,17.7173
3,820,16.8336
3,830,15.994
3,840,15.1962
3,850,14.4383
3,860,13.7181
3,870,13.0339
3,880,12.3837
3,890,11.7661
3,900,11.1792
3,910,10.6216
3,920,10.0918
3,930,9.58843
3,940,9.11018
3,950,8.65577
3,960,8.22404
3,970,7.81383
3,980,7.42409
3,990,7.05379
3,1000,6.70196
4,50,885.818
4,60,845.582
4,70,807.173
4,80,770.509
4,90,735.51
4,100,702.101
4,110,670.209
4,120,639.767
4,130,610.706
4,140,582.966
4,150,556.486
4,160,531.209
4,170,507.08
4,180,484.047
4,190,462.06
4,200,441.072
4,210,421.037
4,220,401.912
4,230,383.656
4,240,366.23
4,250,349.594
4,260,333.715
4,270,318.556
4,280,304.087
4,290,290.274
4,300,277.089
4,310,264.503
4,320,252.488
4,330,241.02
4,340,230.072
4,350,219.621
4,360,209.645
4,370,200.123
4,380,191.033
4,390,182.355
4,400,174.072
4,410,166.165
4,420,158.618
4,430,151.413
4,440,144.535
4,450,137.97
4,460,131.703
4,470,125.721
4,480,120.01
4,490,114.559
4,500,109.355
