m,I,V_ub
1,50,1517.82
1,60,1410.81
1,70,1311.35
1,80,1218.9
1,90,1132.96
1,100,1053.09
1,110,978.842
1,120,909.832
1,130,845.688
1,140,786.065
1,150,730.646
1,160,679.135
1,170,631.255
1,180,586.75
1,190,545.384
1,200,506.933
1,210,471.194
1,220,437.974
1,230,407.096
1,240,378.395
1,250,351.718
1,260,326.921
1,270,303.873
1,280,282.449
1,290,262.536
1,300,244.027
1,310,226.823
1,320,210.831
1,330,195.967
1,340,182.151
1,350,169.309
1,360,157.373
1,370,146.278
1,380,135.965
1,390,126.379
1,400,117.469
1,410,109.188
1,420,101.49
1,430,94.3345
1,440,87.6838
1,450,81.5019
1,460,75.7559
1,470,70.415
1,480,65.4506
1,490,60.8363
1,500,56.5472
1,510,52.5606
1,520,48.855
1,530,45.4106
1,540,42.2091
1,550,39.2333
1,560,36.4673
1,570,33.8963
1,580,31.5065
1,590,29.2853
1,600,27.2206
1,610,25.3015
1,620,23.5177
1,630,21.8597
1,640,20.3186
1,650,18.8861
1,660,17.5546
1,670,16.3169
1,680,15.1666
1,690,14.0973
1,700,13.1034
1,710,12.1796
1,720,11.3209
1,730,10.5228
1,740,9.78092
1,750,9.09135
1,760,8.4504
1,770,7.85463
1,780,7.30087
1,790,6.78614
1,800,6.30771
1,810,5.86301
1,820,5.44966
1,830,5.06545
1,840,4.70833
1,850,4.37638
1,860,4.06784
1,870,3.78105
1,880,3.51448
1,890,3.26671
1,900,3.0364
1,910,2.82233
1,920,2.62335
1,930,2.4384
1,940,2.26649
1,950,2.1067
1,960,1.95817
1,970,1.82012
1,980,1.6918
1,990,1.57252
1,1000,1.46166
2,50,1636.71
2,60,1544.44
2,70,1457.37
2,80,1375.21
2,90,1297.68
2,100,1224.52
2,110,1155.49
2,120,1090.35
2,130,1028.88
2,140,970.873
2,150,916.139
2,160,864.491
2,170,815.754
2,180,769.765
2,190,726.369
2,200,685.419
2,210,646.778
2,220,610.315
2,230,575.908
2,240,543.441
2,250,512.804
2,260,483.894
2,270,456.614
2,280,430.872
2,290,406.581
2,300,383.66
2,310,362.03
2,320,341.62
2,330,322.361
2,340,304.188
2,350,287.039
2,360,270.857
